🕘️更新时间,#genre#
2025-11-30 09:43:38,http://125.42.151.128:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源

📺央视频道,#genre#
CCTV-1,http://125.42.151.128:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://125.42.151.128:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://112.6.239.227:8207/hls/1/index.m3u8$订阅源
CCTV-1,http://112.6.239.227:8207/hls/1/index.m3u8$订阅源
CCTV-1,http://222.212.84.190:54123/udp/239.93.0.184:5140$订阅源
CCTV-1,http://222.212.84.190:54123/udp/239.93.0.184:5140$订阅源
CCTV-1,http://hxwangcong.x3322.net:26000/udp/239.112.205.59:5140$订阅源
CCTV-1,http://hxwangcong.x3322.net:26000/udp/239.112.205.59:5140$订阅源
CCTV-2,http://125.42.151.128:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://112.6.239.227:8207/hls/2/index.m3u8$订阅源
CCTV-2,http://222.212.84.190:54123/udp/239.93.1.23:6000$订阅源
CCTV-2,http://hxwangcong.x3322.net:26000/udp/239.112.205.78:5140$订阅源
CCTV-2,http://ms.fxim.net:808/hls/2/index.m3u8$订阅源
CCTV-2,http://61.184.46.85:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://223.167.230.235:4022/rtp/239.45.3.208:5140$订阅源
CCTV-2,http://223.167.230.235:4022/rtp/239.45.3.208:5140$订阅源
CCTV-3,http://125.42.151.128:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://112.6.239.227:8207/hls/3/index.m3u8$订阅源
CCTV-3,http://ms.fxim.net:808/hls/3/index.m3u8$订阅源
CCTV-3,http://60.13.52.236:65500/newlive/live/hls/3/live.m3u8$订阅源
CCTV-3,http://60.13.52.236:65500/newlive/live/hls/3/live.m3u8$订阅源
CCTV-3,http://112.27.235.94:8000/hls/3/index.m3u8$订阅源
CCTV-3,http://112.27.235.94:8000/hls/3/index.m3u8$订阅源
CCTV-3,http://sh.lnott.top:880/dx03.m3u8$订阅源
CCTV-4,http://125.42.151.128:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://112.6.239.227:8207/hls/4/index.m3u8$订阅源
CCTV-4,http://222.212.84.190:54123/udp/239.93.1.105:5140$订阅源
CCTV-4,http://hxwangcong.x3322.net:26000/udp/239.112.205.202:5140$订阅源
CCTV-4,http://60.13.52.236:65500/newlive/live/hls/4/live.m3u8$订阅源
CCTV-4,http://112.27.235.94:8000/hls/4/index.m3u8$订阅源
CCTV-4,http://sh.lnott.top:880/dx04.m3u8$订阅源
CCTV-4,http://36.32.174.67:60080/newlive/live/hls/4/live.m3u8$订阅源
CCTV-5,http://112.6.239.227:8207/hls/5/index.m3u8$订阅源
CCTV-5,http://ms.fxim.net:808/hls/5/index.m3u8$订阅源
CCTV-5,http://112.27.235.94:8000/hls/5/index.m3u8$订阅源
CCTV-5,http://sh.lnott.top:880/dx05.m3u8$订阅源
CCTV-5,http://116.128.242.83:9901/tsfile/live/0006_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-5,http://112.123.243.37:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-5,http://120.238.94.10:9901/tsfile/live/1022_1.m3u8$订阅源
CCTV-5,http://nas.uclive.site:8000/udp/239.93.42.37:5140$订阅源
CCTV-6,http://112.6.239.227:8207/hls/7/index.m3u8$订阅源
CCTV-6,http://hxwangcong.x3322.net:26000/udp/239.112.205.223:5140$订阅源
CCTV-6,http://ms.fxim.net:808/hls/6/index.m3u8$订阅源
CCTV-6,http://112.27.235.94:8000/hls/7/index.m3u8$订阅源
CCTV-6,http://sh.lnott.top:880/dx06.m3u8$订阅源
CCTV-6,http://222.169.85.8:9901/tsfile/live/0006_1.m3u8?key=txiptv$订阅源
